#Feeder,Feeder ID,Skip,Pos X,Pos Y,Angle,Footprint,Comment,Nozzle,Pick Height,Pick Delay,Move Speed,Place Height,Place Delay,Place Speed,Accuracy,Width,Length,Thickness,Size Analyze,Tray X,Tray Y,Columns,Rows,Right Top X,Right Top Y,Vision Model,Brightness,Vision Error,Vision Flash,Feeder Type,NoisyPoint,
Feeder,1,NO,4.8,10.1,0,SD_CARD,SD_CARD,1,-3,0,100,0,0,100,High Speed,11.81,12.19,1.6,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,3,NO,46.800,10.100,0,USB-B-Micro,USB-B-Micro,2,-2.5,0,100,0,0,100,High Speed,5.25,7.94,2.5,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,5,NO,89.440,9.080,0,SMD_X_2_PADS,32.768KHz,3,-2,0,100,0,0,100,High Speed,1.5,3.2,0.69,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,6,NO,110.720,9.210,0,1206,10uF_Tant,3,-2,0,100,0,0,100,High Speed,0.5,0.96,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,7,NO,131.730,9.530,0,SOT323,BC846BW_NPN,4567,-2,0,100,0,0,100,High Speed,0.5,0.96,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,8,NO,152.820,9.470,0,603,FB2_603,45678,-2,0,100,0,0,100,High Speed,0.5,0.96,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,9,NO,173.680,9.240,0,SOT-23-5,AP2151DWG-7,3,-2,0,100,0,0,100,High Speed,2.33,2.93,0.81,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,10,NO,194.920,9.530,0,1008,2.2uH,45678,-2,0,100,0,0,100,High Speed,1.35,2.03,1.3,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,11,NO,215.820,9.400,0,805,Green,45678,-2,0,100,0,0,100,High Speed,1.35,2.03,1.3,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,12,NO,236.690,9.280,0,402,100pF,45678,-2,0,100,0,0,100,High Speed,1.35,2.03,1.3,NO,,,,,,,No Action,80,,7,Pneumatic,1,
Feeder,13,NO,257.620,9.450,0,402,22uF,45678,-2,0,100,0,0,100,High Speed,1.35,2.03,1.3,NO,,,,,,,No Action,80,,7,Pneumatic,1,
Feeder,14,NO,278.530,9.320,0,402,2.2uF,45678,-2,0,100,0,0,100,High Speed,1.35,2.03,1.3,NO,,,,,,,No Action,80,,7,Pneumatic,1,
Feeder,15,NO,299.860,9.360,0,402,1uF,45678,-2,0,100,0,0,100,High Speed,0.5,0.96,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,16,NO,320.540,9.560,0,402,10uF,45678,-2,0,100,0,0,100,High Speed,0.67,1.14,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,17,NO,342.140,9.490,0,402,0.1uF,45678,-2,0,100,0,0,100,High Speed,0.49,0.97,0.4,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,18,NO,446.640,9.360,0,402,10K0,45678,-3,0,100,0,0,100,High Speed,0.53,1,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,19,NO,467.550,9.430,0,402,1K0,45678,-3,0,100,0,0,100,High Speed,0.53,1,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,20,NO,488.660,9.320,0,402,470R0,45678,-3,0,100,0,0,100,High Speed,0.55,1.04,0,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,21,NO,509.620,9.480,0,402,33R0,45678,-3,0,100,0,0,100,High Speed,0.55,1.04,0,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,22,NO,530.640,9.480,0,402,27R0,45678,-3,0,100,0,0,100,High Speed,0.52,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,23,NO,551.660,9.500,0,402,15K0,45678,-3,0,100,0,0,100,High Speed,0.54,1.01,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,24,NO,572.320,9.620,0,402,30K0,45678,-3,0,100,0,0,100,High Speed,0.52,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,25,NO,593.260,9.810,0,402,12pF,45678,-2,0,100,0,0,100,High Speed,0.5,0.97,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,26,NO,614.280,9.760,0,SMD-3225,24MHz,2,-2,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,27,NO,635.280,9.940,0,SMD-3225, 25MHz,2,-2,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,28,NO,656.290,9.790,0,402,2K2,45678,-3,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,29,NO,677.410,9.780,0,402,1K5,45678,-3,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,30,NO,698.450,9.750,0,402,18pF,5678,-2,0,100,0,0,100,High Speed,0.51,1.03,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,31,NO,719.370,9.720,0,402,24pF,678,-3,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,32,NO,740.430,9.870,0,402,6K49,78,-3,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,33,NO,740.450,9.820,0,402,h2,8,-3,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,34,NO,1.150,518.150,0,QFN-24-M,KSZ8081_QFN_24,1,-3,0,100,0,0,100,High Speed,0.54,0.99,0.38,NO,,,,,0,0,Fly Calib,80,,7,Pneumatic,1,
Feeder,67,NO,52.860,366.870,0,LQFP176_24X24,6K49,1,-2,20,100,0,0,100,High Speed,27,27,1.75,NO,1,1,2,2,85.820,405.090,Fly Calib,80,,7,Pneumatic,1,

#PCB,Columns,Rows,Left Bottom X,Left Bottom Y,Left Top X,Left Top Y,Right Top X,Right Top Y,Mirror Board Left Bottom X,Mirror Board Left Bottom Y,Panelize Board Angle,Mirror Board,Marked Panel X,Marked Panel Y,Marked Panel Value,Manual Program,Feed PCB,Panelized Mark Point,PCB Width,PCB Length,Manual Mark,Test,Detect X,Detect Y,Long PCB Input,
PCB,4,2,295.580,111.210,295.970,206.990,491.310,206.020,0.000,0.000,-0.233306,1,0.000,0.000,,YES,1,YES,215,282,NO,,400.000,110.260,,

#Panel,Pos X,Pos Y,Offset X,Offset Y,Angle,Skip,Position,
Panel,321.55,128.67,0,0,0,NO,Align,
Panel,360.651,110.93,0,0,0,NO,Align,
Panel,425.668,110.582,0,0,0,NO,Align,
Panel,490.662,110.118,0,0,0,NO,Align,
Panel,296.017,207.008,0,0,0,NO,Align,
Panel,361.079,206.669,0,0,0,NO,Align,
Panel,426.217,206.325,0,0,0,NO,Align,
Panel,491.309,206.018,0,0,0,NO,Align,

#Nozzle,NozzleID,Nozzle Type,Disabled,
Nozzle,1,YX03,NO,
Nozzle,2,CN140,NO,
Nozzle,3,CN100,NO,
Nozzle,4,CN065,NO,
Nozzle,5,CN040,NO,
Nozzle,6,CN040,NO,
Nozzle,7,CN040,NO,
Nozzle,8,CN040,NO,

#Mark,Pos X,Pos Y,Min Size,Max Size,Flash,Brightness,Searching Area,Circular Similarity,Nested Mode,Select Camera,Position,
Mark,294.69,111.253,2.5,3.5,Middle,60,4,90,White Point,Left Camera,Align,
Mark,348.923,190.975,2.5,3.5,Middle,60,4,90,White Point,Left Camera,Align,

#Comp,Feeder ID,Comment,Footprint,Designatior,NozzleNumber,Pos X,Pos Y,Angle,Skip,Position,
Comp,17, 0.1uF, 0402,C1,4, 24.150000, 56.050000, 180.000000,,,
Comp,15, 1uF, 0402,C2,4, 25.150000, 56.058578, 180.000000,,,
Comp,16, 10uF, 0402,C5,4, 29.900000, 20.450000, 0.000000,,,
Comp,17, 0.1uF, 0402,C8,4, 28.800000, 20.450000, 0.000000,,,
Comp,17, 0.1uF, 0402,C10,4, 33.198272, 65.781828, 180.000000,,,
Comp,17, 0.1uF, 0402,C11,4, 28.300000, 15.100000, 270.000000,,,
Comp,17, 0.1uF, 0402,C13,4, 39.688119, 65.788581, 180.000000,,,
Comp,17, 0.1uF, 0402,C14,4, 26.973328, 65.775559, 180.000000,,,
Comp,6, 10uF_Tant, C1210,C15,3, 28.900000, 17.700000, 180.000000,,,
Comp,15, 1uF, 0402,C16,4, 45.000000, 8.400000, 270.000000,,,
Comp,17, 0.1uF, 0402,C30,4, 23.348675, 49.908938, 0.000000,,,
Comp,17, 0.1uF, 0402,C31,4, 43.899366, 54.353628, 90.000000,,,
Comp,15, 1uF, 0402,C32,4, 41.435788, 64.840709, 90.000000,,,
Comp,17, 0.1uF, 0402,C33,4, 7.500000, 22.350000, 90.000000,,,
Comp,17, 0.1uF, 0402,C34,4, 7.500000, 20.300000, 90.000000,,,
Comp,16, 10uF, 0402,C35,4, 7.500000, 21.300000, 90.000000,,,
Comp,17, 0.1uF, 0402,C36,4, 33.110256, 73.919644, 0.000000,,,
Comp,17, 0.1uF, 0402,C37,4, 23.624981, 60.144472, 90.000000,,,
Comp,17, 0.1uF, 0402,C38,4, 32.023150, 40.072437, 270.000000,,,
Comp,17, 0.1uF, 0402,C39,4, 16.560000, 7.070000, 0.000000,,,
Comp,17, 0.1uF, 0402,C40,4, 17.840000, 7.070000, 0.000000,,,
Comp,31, 24pF, 0402,C41,6, 15.910000, 29.370000, 0.000000,,,
Comp,31, 24pF, 0402,C42,6, 15.910000, 31.980000, 180.000000,,,
Comp,13, 22uF, 0402,C43,4, 18.461000, 24.480000, 0.000000,,,
Comp,17, 0.1uF, 0402,C44,4, 20.090000, 24.480000, 0.000000,,,
Comp,14, 2.2uF, 0402,C45,4, 21.120000, 24.480000, 0.000000,,,
Comp,17, 0.1uF, 0402,C46,4, 22.400000, 24.480000, 0.000000,,,
Comp,12, 100pF, 0402,C47,4, 21.760000, 31.461000, 90.000000,,,
Comp,13, 22uF, 0402,C48,4, 31.950000, 30.000000, 180.000000,,,
Comp,17, 0.1uF, 0402,C49,4, 30.600000, 30.000000, 180.000000,,,
Comp,25, 12pF, 0402,C50,4, 32.142138, 38.966650, 270.000000,,,
Comp,25, 12pF, 0402,C51,4, 35.033991, 40.074797, 90.000000,,,
Comp,30, 18pF, 0402,C52,5, 36.201578, 39.025838, 270.000000,,,
Comp,30, 18pF, 0402,C53,5, 38.133347, 39.499288, 180.000000,,,
Comp,17, 0.1uF, 0402,C54,4, 24.256247, 64.919994, 90.000000,,,
Comp,17, 0.1uF, 0402,C55,4, 23.130869, 56.037975, 180.000000,,,
Comp,17, 0.1uF, 0402,C56,4, 25.796088, 60.146553, 90.000000,,,
Comp,16, 10uF, 0402,C57,4, 44.282488, 57.848731, 0.000000,,,
Comp,17, 0.1uF, 0402,C58,4, 34.756747, 47.988984, 180.000000,,,
Comp,17, 0.1uF, 0402,C59,4, 42.660966, 57.235481, 270.000000,,,
Comp,17, 0.1uF, 0402,C60,4, 39.092997, 47.950859, 180.000000,,,
Comp,17, 0.1uF, 0402,C61,4, 42.288581, 47.936394, 0.000000,,,
Comp,8, FB2_603, 0603,FB2/2,4, 16.220000, 24.330000, 90.000000,,,
Comp,0, 4-pos, 1X4_3.81MM_PITCH,J1,, 4.000000, 22.000000, 270.000000,,,
Comp,3, USB-B-Micro, USB_MICRO-B,J2,2, 47.000000, 1.700000, 0.000000,,,
Comp,0, USB-A, USB_A_SMT,J3,, 35.000000, 7.400000, 90.000000,,,
Comp,0, RJ45, RJ45_TH_ELEC,J4,, 17.200000, 19.800000, 0.000000,,,
Comp,0, 20-pos, 2_X_10_.1_INCH,J5,, 4.100000, 41.000000, 270.000000,,,
Comp,0, 10-pos, 2X5,J6,, 54.000000, 20.000000, 270.000000,,,
Comp,0, 20-pos, 2_X_10_.1_INCH,J7,, 55.000000, 43.000000, 270.000000,,,
Comp,1, SD_CARD, SD_CARD,J9,1, 3.000000, 72.600000, 270.000000,,,
Comp,0, 40-pos, HEADER_2_X_20_.1_INCH,J10,, 30.000000, 88.500000, 0.000000,,,
Comp,0, 10-pos, 2X5,J11,, 54.000000, 75.000000, 270.000000,,,
Comp,0, 10-pos, 2X5,J12,, 2.900000, 59.000000, 0.000000,,,
Comp,10, 2.2uH, 1008,L3,4, 8.000000, 17.800000, 270.000000,,,
Comp,11, Green, 0805,LED3,4, 10.800000, 24.800000, 270.000000,,,
Comp,18, 10K0, 0402,R1,4, 33.600000, 22.700000, 270.000000,,,
Comp,23, 15K0, 0402,R4,4, 45.600000, 10.400000, 0.000000,,,
Comp,22, 27R0, 0402,R5,4, 46.700000, 10.400000, 0.000000,,,
Comp,22, 27R0, 0402,R6,4, 47.700000, 10.400000, 0.000000,,,
Comp,24, 30K0, 0402,R7,4, 45.000000, 7.300000, 90.000000,,,
Comp,18, 10K0, 0402,R12,4, 31.600000, 21.200000, 270.000000,,,
Comp,20, 470R0, 0402,R13,4, 8.120000, 24.090000, 0.000000,,,
Comp,18, 10K0, 0402,R16,4, 43.887922, 56.275022, 270.000000,,,
Comp,18, 10K0, 0402,R17,4, 43.879394, 55.316494, 270.000000,,,
Comp,18, 10K0, 0402,R18,4, 42.584216, 58.424009, 90.000000,,,
Comp,28, 2K2, 0402,R19,4, 36.305994, 42.500000, 270.000000,,,
Comp,19, 1K0, 0402,R20,4, 22.152481, 67.082338, 180.000000,,,
Comp,19, 1K0, 0402,R21,4, 23.131263, 67.084716, 180.000000,,,
Comp,20, 470R0, 0402,R23,4, 23.890000, 3.880000, 0.000000,,,
Comp,20, 470R0, 0402,R24,4, 10.540000, 3.830000, 0.000000,,,
Comp,32, 6K49, 0402,R25,7, 21.780000, 32.460000, 270.000000,,,
Comp,18, 10K0, 0402,R26,4, 26.160000, 56.070000, 180.000000,,,
Comp,18, 10K0, 0402,R27,4, 24.540000, 48.720000, 180.000000,,,
Comp,29, 1K5, 0402,R28,4, 21.830000, 34.410000, 90.000000,,,
Comp,29, 1K5, 0402,R29,4, 21.780000, 33.440000, 90.000000,,,
Comp,21, 33R0, 0402,R30,4, 27.950000, 30.550000, 0.000000,,,
Comp,21, 33R0, 0402,R31,4, 29.600000, 29.950000, 0.000000,,,
Comp,21, 33R0, 0402,R32,4, 30.950000, 24.600000, 90.000000,,,
Comp,21, 33R0, 0402,R33,4, 31.600000, 26.900000, 90.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$1,, 2.500000, 88.500000, 0.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$2,, 57.500000, 88.500000, 0.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$3,, 2.500000, 6.500000, 0.000000,,,
Comp,16, 10uF, 0402,U$4,4, 25.610000, 48.700000, 180.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$5,, 57.500000, 88.500000, 0.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$6,, 2.500000, 88.500000, 0.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$7,, 52.500000, 2.500000, 0.000000,,,
Comp,0, FIDUCIAL, FIDUCIAL,U$8,, 33.300000, 56.700000, 0.000000,,,
Comp,9, AP2151DWG-7, SOT-23-5,U2,3, 33.200000, 18.500000, 270.000000,,,
Comp,34, KSZ8081_QFN_24, QFN-24-M,U3,1, 26.400000, 26.550000, 180.000000,,,
Comp,67, S7G2LQFP176, LQFP176_24X24,U4,1, 33.300000, 56.700000, 90.000000,,,
Comp,27, 25MHz, SMD_3225,U5,2, 12.850000, 30.810000, 270.000000,,,
Comp,5, 32.768KHz, SMD_X_2_PADS,X3,3, 32.101575, 37.257253, 90.000000,,,
Comp,26, 24MHz, SMD_3225,X4,2, 37.308472, 35.890100, 0.000000,,,

